epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,4878.79,0.42763,0.42123,1.20834,0.00437,0.37732,0.48634,0.48637,0.43802,0.41157,0.48665,0.48712,0.43849,0.40443,0.34217,0.36158,1.05052,0.00576,0,0.000981765,0.000981765,0.000981765
28,5057.71,0.42281,0.4088,1.18616,0.00426,0.37005,0.51401,0.49531,0.45855,0.43087,0.51379,0.49551,0.4588,0.42611,0.36216,0.33711,0.98015,0.00605,0,0.000980345,0.000980345,0.000980345
29,5236.88,0.42198,0.41256,1.18119,0.00425,0.36594,0.45032,0.37174,0.31887,0.2868,0.45116,0.37333,0.31982,0.28077,0.55221,0.85282,1.71515,0.00933,0,0.000978873,0.000978873,0.000978873
30,5414.94,0.42249,0.42024,1.17229,0.00417,0.36136,0.49952,0.4859,0.4642,0.43663,0.49975,0.48658,0.46538,0.43011,0.35544,0.37672,0.98517,0.00586,0,0.000977349,0.000977349,0.000977349
31,5592.12,0.42392,0.42269,1.20643,0.00429,0.36386,0.45641,0.48761,0.43175,0.40799,0.45607,0.48715,0.43169,0.40112,0.33243,0.33124,1.02014,0.00549,0,0.000975773,0.000975773,0.000975773
32,5771.16,0.42512,0.41651,1.1554,0.00428,0.35634,0.27226,0.23335,0.16323,0.15081,0.27193,0.23247,0.16267,0.14816,0.4762,0.72558,2.90268,0.00785,0,0.000974145,0.000974145,0.000974145
33,5948.91,0.42252,0.40014,1.12761,0.00422,0.34835,0.14281,0.07696,0.03192,0.02689,0.1423,0.07284,0.03105,0.02592,1.281,3.4536,5.57901,0.02405,0,0.000972466,0.000972466,0.000972466
34,6126.62,0.41808,0.40922,1.16042,0.00414,0.35721,0.50764,0.52595,0.49419,0.46654,0.50713,0.52779,0.4941,0.46112,0.34753,0.35174,0.90112,0.00558,0,0.000970736,0.000970736,0.000970736
35,6304.64,0.41646,0.40293,1.11996,0.00416,0.34535,0.46432,0.4687,0.43663,0.41027,0.46448,0.46894,0.43683,0.40343,0.34619,0.34039,1.06001,0.00585,0,0.000968955,0.000968955,0.000968955
36,6482.89,0.41877,0.4068,1.10446,0.00422,0.34105,0.48331,0.52139,0.51592,0.48226,0.48389,0.52192,0.51691,0.47298,0.37451,0.44065,1.0183,0.00607,0,0.000967122,0.000967122,0.000967122
37,6661.14,0.41191,0.405,1.11085,0.00416,0.34216,0.24502,0.11372,0.05751,0.05182,0.24471,0.11193,0.05716,0.05098,0.48555,0.90083,4.14082,0.00812,0,0.000965239,0.000965239,0.000965239
38,6839.06,0.41112,0.39883,1.0814,0.00412,0.33639,0.49598,0.4923,0.4487,0.42023,0.4963,0.4928,0.44934,0.41235,0.36734,0.40844,1.10797,0.00605,0,0.000963306,0.000963306,0.000963306
39,7016.74,0.41313,0.39717,1.07617,0.00412,0.33681,0.55489,0.52677,0.52206,0.49479,0.5538,0.52979,0.52268,0.486,0.33205,0.35836,0.83029,0.0053,0,0.000961322,0.000961322,0.000961322
40,7195.19,0.40762,0.39907,1.06213,0.00408,0.33263,0.46601,0.47267,0.41866,0.39365,0.46576,0.47214,0.41923,0.38545,0.35054,0.37412,1.15894,0.00559,0,0.000959289,0.000959289,0.000959289
41,7373.75,0.40414,0.39147,1.08886,0.00407,0.3373,0.21481,0.19885,0.10444,0.08978,0.21234,0.19332,0.10301,0.08693,1.14604,2.49035,3.67723,0.02043,0,0.000957205,0.000957205,0.000957205
42,7551.91,0.4027,0.39541,1.07177,0.00394,0.33253,0.51408,0.4889,0.49534,0.46888,0.51401,0.48871,0.49541,0.45863,0.33586,0.34801,0.89673,0.00549,0,0.000955072,0.000955072,0.000955072
43,7729.73,0.4068,0.39711,1.0745,0.00406,0.33392,0.49522,0.52079,0.49181,0.46747,0.49506,0.52038,0.4915,0.45897,0.31971,0.30986,0.84408,0.00511,0,0.000952889,0.000952889,0.000952889
44,7907.88,0.40849,0.40152,1.0708,0.00408,0.33092,0.24463,0.27032,0.15898,0.14737,0.24461,0.27044,0.15899,0.14243,0.44599,0.64681,2.73662,0.00718,0,0.000950658,0.000950658,0.000950658
45,8086.12,0.40233,0.38492,1.04963,0.00399,0.32243,0.52587,0.49353,0.49236,0.46643,0.52716,0.49329,0.4934,0.45922,0.32793,0.33067,0.89159,0.00537,0,0.000948377,0.000948377,0.000948377
46,8264.22,0.40382,0.39129,1.05341,0.00404,0.32736,0.51584,0.59648,0.5487,0.52332,0.51575,0.59628,0.54869,0.51478,0.31094,0.30018,0.73812,0.00507,0,0.000946048,0.000946048,0.000946048
47,8444.47,0.40586,0.38923,1.04897,0.00399,0.32511,0.10904,0.11282,0.05445,0.0495,0.10856,0.11093,0.05389,0.04899,0.86452,1.70072,5.98777,0.01404,0,0.000943671,0.000943671,0.000943671
48,8623.06,0.40354,0.40044,1.03682,0.00398,0.32333,0.4711,0.4316,0.41344,0.39072,0.47138,0.43193,0.41327,0.38109,0.32803,0.3826,1.22918,0.00535,0,0.000941245,0.000941245,0.000941245
49,8801.41,0.39662,0.38638,1.02599,0.00388,0.32359,0.53146,0.55205,0.531,0.5091,0.53154,0.55235,0.53101,0.49704,0.28043,0.29645,0.79345,0.00441,0,0.000938772,0.000938772,0.000938772
50,8979.35,0.39451,0.38123,0.99079,0.0039,0.31267,0.51709,0.55256,0.53369,0.51145,0.5174,0.55304,0.53407,0.50244,0.29166,0.30817,0.80744,0.00459,0,0.000936251,0.000936251,0.000936251
51,9157.74,0.39708,0.38839,1.00773,0.00392,0.31573,0.51752,0.5377,0.53396,0.49806,0.51917,0.53563,0.53453,0.49428,0.36701,0.39571,0.92301,0.00596,0,0.000933683,0.000933683,0.000933683
52,9337.03,0.39352,0.37517,1.00495,0.0039,0.31645,0.31223,0.25173,0.20531,0.18997,0.31235,0.25073,0.2061,0.18758,0.40631,0.52001,2.3238,0.00674,0,0.000931067,0.000931067,0.000931067
53,9516.43,0.38924,0.36532,0.99861,0.00389,0.31084,0.40019,0.39447,0.33793,0.31433,0.40064,0.39484,0.33847,0.31135,0.44913,0.58513,1.87803,0.00722,0,0.000928405,0.000928405,0.000928405
54,9694.49,0.3951,0.36896,0.98744,0.00386,0.30937,0.45179,0.5317,0.49978,0.47847,0.45182,0.53195,0.49988,0.46758,0.29763,0.30465,0.90178,0.00475,0,0.000925697,0.000925697,0.000925697
55,9872.8,0.39007,0.36859,0.95706,0.00384,0.29845,0.47471,0.55716,0.53765,0.51571,0.47462,0.55691,0.53782,0.50474,0.28379,0.31243,0.84595,0.0045,0,0.000922942,0.000922942,0.000922942
56,10051.3,0.3927,0.37034,0.97361,0.00387,0.30814,0.48243,0.59125,0.54378,0.51836,0.48258,0.59144,0.54387,0.50985,0.30138,0.31084,0.83202,0.00478,0,0.000920142,0.000920142,0.000920142
57,10229.6,0.38471,0.36203,0.94415,0.0038,0.29645,0.14307,0.11022,0.05006,0.04579,0.14237,0.10841,0.04944,0.04483,0.60245,1.46456,5.31897,0.01,0,0.000917296,0.000917296,0.000917296
58,10409,0.38271,0.35229,0.94151,0.00376,0.29914,0.15365,0.18333,0.1038,0.09632,0.15349,0.18285,0.10368,0.09408,0.44611,0.91513,4.29354,0.00726,0,0.000914405,0.000914405,0.000914405
59,10587.6,0.38199,0.35216,0.93384,0.00375,0.29427,0.47296,0.56023,0.54443,0.5158,0.47343,0.561,0.54498,0.50914,0.32051,0.3303,0.84731,0.00497,0,0.000911469,0.000911469,0.000911469
60,10765.5,0.38888,0.36495,0.94254,0.0038,0.29448,0.13659,0.17665,0.0831,0.07585,0.13605,0.17675,0.08295,0.07589,0.57115,0.81345,5.24661,0.00898,0,0.000908488,0.000908488,0.000908488
61,10944,0.38501,0.35114,0.92372,0.00372,0.29145,0.55374,0.54061,0.5521,0.52614,0.55256,0.5421,0.5523,0.51464,0.30104,0.33018,0.8158,0.00472,0,0.000905463,0.000905463,0.000905463
62,11122.2,0.38353,0.36063,0.93579,0.00371,0.29491,0.53896,0.55382,0.57471,0.55114,0.53893,0.55378,0.57487,0.54254,0.28197,0.30002,0.75137,0.00438,0,0.000902395,0.000902395,0.000902395
63,11300.8,0.38506,0.35851,0.91924,0.00381,0.29119,0.44729,0.56931,0.52098,0.49659,0.44761,0.56855,0.52084,0.48492,0.30082,0.31637,0.88785,0.00491,0,0.000899282,0.000899282,0.000899282
64,11478.7,0.37673,0.34233,0.91749,0.00366,0.29026,0.03659,0.17474,0.05439,0.04915,0.03638,0.17078,0.0539,0.04737,0.94857,2.03656,6.63207,0.01682,0,0.000896127,0.000896127,0.000896127
65,11656.9,0.3796,0.35157,0.92961,0.00369,0.28862,0.48904,0.51668,0.50796,0.46999,0.49301,0.51748,0.51128,0.46588,0.44138,0.51357,1.11177,0.00685,0,0.000892928,0.000892928,0.000892928
66,11835.3,0.38063,0.35458,0.91417,0.00367,0.28868,0.48166,0.55634,0.54665,0.52641,0.48172,0.55641,0.54678,0.5164,0.27172,0.28022,0.83515,0.00426,0,0.000889687,0.000889687,0.000889687
67,12013.3,0.38179,0.34563,0.89068,0.0037,0.28081,0.53179,0.57898,0.56577,0.54533,0.53183,0.57901,0.56632,0.53406,0.27086,0.27886,0.75693,0.00427,0,0.000886404,0.000886404,0.000886404
68,12191.2,0.37763,0.34962,0.89529,0.00366,0.28109,0.59298,0.60004,0.63399,0.61085,0.61173,0.59239,0.63403,0.59933,0.26729,0.29403,0.59855,0.00415,0,0.000883079,0.000883079,0.000883079
69,12369.3,0.37493,0.34392,0.9048,0.00368,0.28233,0.4888,0.57631,0.54909,0.52853,0.48877,0.57617,0.54927,0.51842,0.27353,0.28986,0.80839,0.00431,0,0.000879713,0.000879713,0.000879713
70,12547.6,0.37319,0.34685,0.92299,0.00359,0.2887,0.44455,0.61373,0.54761,0.52724,0.44622,0.60916,0.54759,0.51524,0.2737,0.31921,0.80875,0.00425,0,0.000876305,0.000876305,0.000876305
71,12725.6,0.37557,0.34394,0.90166,0.00364,0.27918,0.51834,0.54886,0.53952,0.51768,0.51856,0.54906,0.53943,0.50841,0.27626,0.26822,0.83953,0.00421,0,0.000872857,0.000872857,0.000872857
72,12903.7,0.37653,0.34748,0.89916,0.00369,0.28429,0.50539,0.56597,0.55839,0.53842,0.50496,0.56544,0.5581,0.52488,0.25965,0.27569,0.82253,0.00394,0,0.000869368,0.000869368,0.000869368
73,13081.5,0.36878,0.33352,0.88445,0.0036,0.27603,0.54486,0.58707,0.57736,0.55737,0.54425,0.58732,0.57744,0.54569,0.26841,0.28435,0.71158,0.00418,0,0.000865839,0.000865839,0.000865839
74,13259.8,0.37176,0.33246,0.86487,0.00361,0.27296,0.55077,0.55635,0.56601,0.5321,0.54778,0.55819,0.56664,0.52212,0.33859,0.41138,0.83542,0.00535,0,0.000862271,0.000862271,0.000862271
75,13437.7,0.3718,0.34359,0.86638,0.00358,0.26792,0.45422,0.55576,0.52532,0.50661,0.45378,0.55517,0.52548,0.49404,0.26744,0.29142,0.94421,0.00401,0,0.000858664,0.000858664,0.000858664
76,13615.7,0.37205,0.3359,0.86608,0.00357,0.27289,0.52023,0.61858,0.59862,0.57775,0.52003,0.61845,0.59888,0.56703,0.26731,0.2773,0.70172,0.004,0,0.000855018,0.000855018,0.000855018
77,13794.2,0.36814,0.3319,0.83466,0.00352,0.26554,0.52579,0.58663,0.5863,0.56681,0.52572,0.58648,0.58648,0.55358,0.25942,0.28413,0.74769,0.00396,0,0.000851333,0.000851333,0.000851333
78,13972.7,0.3706,0.33985,0.86363,0.00362,0.26804,0.48236,0.53488,0.53392,0.51484,0.48224,0.53474,0.53401,0.50451,0.26244,0.27064,0.90417,0.00395,0,0.000847611,0.000847611,0.000847611
79,14150.9,0.36567,0.33223,0.84734,0.00349,0.26514,0.57501,0.61163,0.62205,0.60238,0.57488,0.61147,0.62174,0.58799,0.25313,0.28402,0.67057,0.0039,0,0.000843851,0.000843851,0.000843851
80,14328.6,0.3669,0.3365,0.8567,0.00355,0.26724,0.49414,0.54318,0.52892,0.5114,0.49433,0.54329,0.52934,0.49984,0.25736,0.29216,0.94398,0.004,0,0.000840054,0.000840054,0.000840054
81,14506.6,0.36729,0.33689,0.85635,0.00353,0.26845,0.54856,0.60919,0.58076,0.56215,0.55303,0.60158,0.58092,0.55112,0.26087,0.27701,0.72968,0.00402,0,0.00083622,0.00083622,0.00083622
82,14684.5,0.36138,0.32383,0.82263,0.00351,0.25981,0.57014,0.5685,0.57989,0.56078,0.57043,0.56794,0.58011,0.54883,0.25558,0.27546,0.75683,0.00387,0,0.000832349,0.000832349,0.000832349
83,14862.5,0.36104,0.3284,0.83959,0.00351,0.26048,0.51158,0.59791,0.57129,0.55376,0.51147,0.59768,0.57104,0.5423,0.24628,0.26564,0.8034,0.00375,0,0.000828443,0.000828443,0.000828443
84,15041,0.36142,0.32971,0.82125,0.00343,0.25359,0.5075,0.58462,0.56891,0.55047,0.50734,0.5844,0.56872,0.53615,0.2579,0.30264,0.81524,0.00386,0,0.000824502,0.000824502,0.000824502
85,15219.1,0.36133,0.32901,0.81753,0.00348,0.25776,0.50172,0.58279,0.57096,0.5521,0.5017,0.58272,0.57096,0.54103,0.25676,0.26512,0.80142,0.00382,0,0.000820525,0.000820525,0.000820525
86,15397.2,0.35941,0.3261,0.81914,0.00343,0.2576,0.51946,0.61547,0.58882,0.57054,0.52008,0.61391,0.58883,0.55832,0.25618,0.27871,0.79193,0.00384,0,0.000816514,0.000816514,0.000816514
87,15575.3,0.36132,0.32926,0.83066,0.00347,0.25966,0.53251,0.55977,0.56428,0.54653,0.53242,0.55957,0.56422,0.53512,0.25407,0.2831,0.824,0.00382,0,0.000812468,0.000812468,0.000812468
88,15753.7,0.35968,0.32539,0.82057,0.00343,0.25406,0.50123,0.54133,0.52704,0.50914,0.50123,0.54127,0.52723,0.49583,0.25709,0.28983,0.92911,0.00383,0,0.000808389,0.000808389,0.000808389
89,15931.3,0.35812,0.32055,0.78993,0.00338,0.24809,0.51005,0.56144,0.56618,0.54888,0.51008,0.56141,0.5664,0.53715,0.24909,0.26706,0.84137,0.00376,0,0.000804277,0.000804277,0.000804277
90,16109.1,0.36181,0.32485,0.79131,0.00345,0.24342,0.52231,0.58842,0.5753,0.55663,0.52329,0.58751,0.57495,0.54473,0.25594,0.27389,0.79462,0.00381,0,0.000800131,0.000800131,0.000800131
91,16287,0.35306,0.31855,0.7859,0.00335,0.24682,0.50832,0.63145,0.58327,0.56506,0.50803,0.62951,0.58306,0.55115,0.25224,0.27442,0.78924,0.0038,0,0.000795954,0.000795954,0.000795954
92,16465.1,0.35889,0.32305,0.79171,0.0034,0.24791,0.465,0.54236,0.52419,0.50807,0.46492,0.54229,0.52425,0.4966,0.24896,0.25937,1.03546,0.00376,0,0.000791744,0.000791744,0.000791744
93,16643.6,0.35099,0.31887,0.79337,0.00336,0.25003,0.49278,0.60696,0.57472,0.55751,0.49345,0.60648,0.57471,0.54523,0.24677,0.25742,0.81188,0.00373,0,0.000787503,0.000787503,0.000787503
94,16821.4,0.35524,0.32795,0.80143,0.00339,0.24876,0.54927,0.61131,0.59771,0.58015,0.54889,0.61076,0.59746,0.56717,0.24462,0.27238,0.72791,0.00367,0,0.000783231,0.000783231,0.000783231
95,16999.6,0.3541,0.3155,0.7748,0.00332,0.24381,0.49114,0.61843,0.57566,0.55904,0.49023,0.61858,0.57538,0.54528,0.2437,0.27323,0.81257,0.00365,0,0.000778929,0.000778929,0.000778929
96,17177.1,0.34901,0.31699,0.76191,0.00333,0.23721,0.51717,0.61641,0.58002,0.56317,0.51717,0.61635,0.58003,0.5506,0.24681,0.26241,0.8097,0.00367,0,0.000774596,0.000774596,0.000774596
97,17355.5,0.35429,0.31841,0.78114,0.00338,0.24309,0.53989,0.58244,0.58392,0.56713,0.53976,0.58224,0.58383,0.5545,0.24901,0.27192,0.81259,0.0037,0,0.000770234,0.000770234,0.000770234
98,17532.8,0.35399,0.31185,0.75726,0.00337,0.23325,0.55045,0.64009,0.62288,0.60519,0.55049,0.64006,0.62312,0.59143,0.24436,0.27372,0.6841,0.00364,0,0.000765843,0.000765843,0.000765843
99,17711.1,0.3471,0.31172,0.77976,0.00331,0.24063,0.54229,0.6214,0.61253,0.59441,0.54219,0.62122,0.6125,0.58058,0.24637,0.27157,0.73421,0.00365,0,0.000761423,0.000761423,0.000761423
100,17889.1,0.35284,0.31663,0.75711,0.00331,0.2357,0.52834,0.54965,0.55778,0.54166,0.52824,0.5495,0.55755,0.52769,0.24568,0.27277,0.92472,0.00365,0,0.000756976,0.000756976,0.000756976
101,18067,0.34416,0.30906,0.75538,0.00327,0.23352,0.55013,0.55033,0.57881,0.56214,0.55007,0.55025,0.579,0.54819,0.24533,0.26681,0.84675,0.00361,0,0.0007525,0.0007525,0.0007525
102,18245.7,0.34894,0.31832,0.73996,0.00328,0.22749,0.51838,0.5732,0.57966,0.56357,0.51843,0.57325,0.57971,0.54946,0.24318,0.26945,0.84292,0.00359,0,0.000747997,0.000747997,0.000747997
103,18424.2,0.34991,0.31448,0.75216,0.00333,0.23428,0.55122,0.61175,0.60697,0.59002,0.55097,0.61136,0.607,0.57537,0.24206,0.27681,0.73055,0.00355,0,0.000743468,0.000743468,0.000743468
104,18601.6,0.34597,0.31361,0.72994,0.00327,0.22617,0.52517,0.56412,0.57388,0.55712,0.52527,0.56294,0.57387,0.54468,0.24341,0.26978,0.86106,0.00354,0,0.000738913,0.000738913,0.000738913
105,18779.6,0.34111,0.30882,0.72311,0.00326,0.22472,0.48024,0.57738,0.56647,0.54994,0.47991,0.5769,0.56607,0.53769,0.23951,0.26663,0.92176,0.0035,0,0.000734332,0.000734332,0.000734332
106,18956.8,0.34718,0.30897,0.73438,0.00326,0.22771,0.51469,0.59229,0.57862,0.56232,0.51474,0.59232,0.57844,0.54949,0.23856,0.26704,0.87486,0.00345,0,0.000729725,0.000729725,0.000729725
107,19134.6,0.34523,0.31297,0.72429,0.00324,0.2236,0.53043,0.60064,0.59332,0.57676,0.53008,0.60014,0.59319,0.56379,0.24025,0.26644,0.81106,0.00349,0,0.000725094,0.000725094,0.000725094
