epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,5806.77,0.49952,0.84128,0.95908,0.62667,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,5931.04,0.47197,0.84128,0.95881,0.62575,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,6055.56,0.44117,0.84171,0.95881,0.62464,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,6180,0.4163,0.84225,0.95903,0.62497,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,6313.75,0.3836,0.84257,0.95881,0.62137,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,6436.83,0.35387,0.84257,0.95881,0.62056,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,6561.3,0.3262,0.84252,0.9587,0.62119,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,6684.08,0.29501,0.8423,0.95876,0.61979,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,6806.85,0.26189,0.84252,0.95876,0.6201,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,6929.9,0.23372,0.84214,0.95913,0.61955,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,7052.96,0.20332,0.84235,0.95924,0.62037,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,7175.65,0.17727,0.84252,0.95892,0.62078,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,7298.74,0.15994,0.84252,0.95892,0.62258,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,7421.8,0.13722,0.8423,0.95908,0.61992,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
