epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,181.02,0.58982,0.42935,0.31831,0.01246,0.12892,0.95738,0.975,0.99235,0.87768,0.95738,0.975,0.99235,0.98923,0.56019,0.16162,0.2286,0.02181,0,0.000956145,0.000956145,0.000956145
29,187.202,0.49764,0.32561,0.26936,0.01178,0.10563,0.99557,1,0.995,0.94257,0.99557,1,0.995,0.9769,0.38552,0.17235,0.1535,0.01306,0,0.000952889,0.000952889,0.000952889
30,193.215,0.48963,0.3724,0.27758,0.01132,0.11276,0.97474,1,0.99451,0.90765,0.97474,1,0.99451,0.98502,0.44534,0.18976,0.15888,0.01554,0,0.000949524,0.000949524,0.000949524
31,199.35,0.56796,0.40754,0.29595,0.01373,0.1084,0.99797,1,0.995,0.89724,0.99797,1,0.995,0.98187,0.49585,0.38524,0.17446,0.0191,0,0.000946048,0.000946048,0.000946048
32,205.73,0.52746,0.43386,0.29849,0.01178,0.11621,0.9971,0.975,0.99318,0.96551,0.9971,0.975,0.99318,0.98742,0.33031,0.2572,0.15895,0.01214,0,0.000942464,0.000942464,0.000942464
33,212.111,0.5289,0.43778,0.32015,0.01123,0.11054,1,0.9727,0.99451,0.9516,1,0.9727,0.99451,0.98519,0.31356,0.16826,0.13445,0.01109,0,0.000938772,0.000938772,0.000938772
34,218.184,0.53514,0.50186,0.28951,0.012,0.10564,0.99726,1,0.995,0.93063,0.99726,1,0.995,0.99225,0.38998,0.16368,0.12993,0.01349,0,0.000934973,0.000934973,0.000934973
35,224.219,0.5189,0.63423,0.32087,0.01216,0.10088,0.99734,1,0.995,0.96713,0.99734,1,0.995,0.99135,0.29699,0.17475,0.11562,0.01053,0,0.000931067,0.000931067,0.000931067
36,230.357,0.49594,0.37256,0.26826,0.01055,0.10097,1,0.99817,0.995,0.95202,1,0.99817,0.995,0.99192,0.33385,0.18028,0.12063,0.01255,0,0.000927057,0.000927057,0.000927057
37,236.212,0.4353,0.35687,0.28013,0.00935,0.10393,1,0.99551,0.995,0.96009,1,0.99551,0.995,0.992,0.30818,0.17701,0.15115,0.01159,0,0.000922942,0.000922942,0.000922942
38,242.048,0.46919,0.5348,0.32302,0.01079,0.1035,1,0.99668,0.995,0.97116,1,0.99668,0.995,0.99175,0.31034,0.18198,0.13624,0.01112,0,0.000918725,0.000918725,0.000918725
39,248.395,0.44479,0.3188,0.25189,0.00948,0.10949,0.99865,1,0.995,0.9086,0.99865,1,0.995,0.97474,0.45495,0.17869,0.12878,0.01567,0,0.000914405,0.000914405,0.000914405
40,254.39,0.44055,0.43788,0.28454,0.00969,0.11662,0.99883,1,0.995,0.96871,0.99883,1,0.995,0.99448,0.26948,0.21861,0.11958,0.00961,0,0.000909984,0.000909984,0.000909984
41,260.699,0.44213,0.39655,0.25016,0.00948,0.10656,0.99686,0.925,0.99167,0.89243,0.99686,0.925,0.99167,0.99167,0.50802,0.20221,0.2113,0.01826,0,0.000905463,0.000905463,0.000905463
42,266.956,0.47591,0.4162,0.25646,0.01036,0.11162,0.97212,0.975,0.9928,0.95584,0.97212,0.975,0.9928,0.98802,0.33867,0.1738,0.14491,0.01246,0,0.000900844,0.000900844,0.000900844
43,272.994,0.51794,0.69177,0.31063,0.01222,0.11339,1,0.94967,0.99214,0.98121,1,0.94967,0.99214,0.98895,0.24782,0.33529,0.1532,0.00898,0,0.000896127,0.000896127,0.000896127
44,279.36,0.48347,0.66776,0.31505,0.01039,0.11022,0.93015,0.99878,0.98972,0.96572,0.93015,0.99878,0.98972,0.98972,0.32114,0.20516,0.17289,0.01164,0,0.000891313,0.000891313,0.000891313
45,285.465,0.4694,0.27928,0.24458,0.01137,0.08123,1,0.99688,0.995,0.94083,1,0.99688,0.995,0.99255,0.36654,0.1778,0.12943,0.0128,0,0.000886404,0.000886404,0.000886404
46,291.272,0.42678,0.35597,0.24548,0.00978,0.10268,0.99845,1,0.995,0.96463,0.99845,1,0.995,0.995,0.27132,0.17302,0.09042,0.01027,0,0.000881401,0.000881401,0.000881401
47,297.178,0.45621,0.44873,0.24787,0.01061,0.11151,0.99698,1,0.995,0.9923,0.99698,1,0.995,0.995,0.21672,0.18044,0.10003,0.00775,0,0.000876305,0.000876305,0.000876305
48,302.833,0.45676,0.29991,0.24264,0.0096,0.09005,0.99844,1,0.995,0.93889,0.99844,1,0.995,0.995,0.3894,0.17587,0.12783,0.01426,0,0.000871117,0.000871117,0.000871117
