epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,7039.78,0.40116,0.85858,0.96506,0.60315,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7187.31,0.39069,0.85896,0.96452,0.60514,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7335.46,0.37867,0.85858,0.96425,0.60743,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7483.14,0.37973,0.85853,0.96452,0.60874,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7631.06,0.37093,0.85821,0.9642,0.60805,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7779.66,0.35834,0.85842,0.96415,0.60829,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7927.89,0.34666,0.85815,0.96382,0.60987,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8076.95,0.3419,0.85724,0.96355,0.61029,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8228.69,0.32853,0.85675,0.96366,0.61113,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8379.74,0.32447,0.85675,0.9635,0.61174,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8530.74,0.32596,0.85686,0.96339,0.61305,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8681.45,0.30737,0.85637,0.96328,0.61379,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8831.63,0.29814,0.85648,0.96307,0.61474,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8982.03,0.29089,0.85675,0.96339,0.61339,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9132.93,0.27617,0.85691,0.96334,0.61617,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9284,0.27159,0.8568,0.96334,0.61492,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9434.93,0.26937,0.8568,0.96339,0.61516,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9585.57,0.26019,0.85724,0.96345,0.61594,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9736.2,0.24803,0.85664,0.96345,0.61491,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9886.88,0.23833,0.85686,0.96361,0.61667,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10037.8,0.23484,0.85713,0.96372,0.61813,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10187.9,0.22037,0.85745,0.96372,0.61855,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10338.4,0.21924,0.85702,0.96339,0.61804,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10488.9,0.21161,0.85697,0.96318,0.61871,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10640.3,0.20397,0.85691,0.96301,0.62135,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10790.8,0.19342,0.85691,0.96339,0.62254,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10941.2,0.18683,0.85707,0.9635,0.62052,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11091.8,0.18035,0.85686,0.96334,0.62164,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11242.3,0.17475,0.85697,0.96355,0.6218,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11392.9,0.16426,0.85772,0.96372,0.62498,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11543.3,0.158,0.85799,0.96361,0.62302,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11693.9,0.14599,0.85815,0.96339,0.62334,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11845.2,0.14276,0.85767,0.96307,0.62377,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11996.2,0.13105,0.85794,0.9628,0.62417,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12147.2,0.1239,0.8581,0.96307,0.62762,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12298.7,0.12429,0.85821,0.96307,0.62672,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12450.2,0.1148,0.85826,0.96318,0.62673,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12601.4,0.10744,0.85848,0.96318,0.62969,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12751.5,0.09819,0.85826,0.96312,0.62802,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12901,0.09484,0.8588,0.96328,0.62829,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,13051.8,0.08817,0.85853,0.96318,0.63207,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13202.4,0.08049,0.85821,0.96345,0.63276,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13353.4,0.07298,0.85853,0.96345,0.63307,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13503.6,0.06829,0.85842,0.96339,0.63518,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,234.362,0.07358,0.86058,0.96404,0.63057,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,456.896,0.0832,0.86236,0.96458,0.62666,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,679.853,0.08202,0.8637,0.96474,0.62447,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,903.485,0.07514,0.86381,0.96452,0.62371,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,1127.5,0.06819,0.86521,0.96506,0.62297,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,1352.01,0.06065,0.86548,0.96528,0.62293,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,1571.68,0.05528,0.86565,0.96506,0.6234,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,1790.83,0.04798,0.86548,0.96523,0.62428,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,2010.37,0.04568,0.86592,0.9642,0.62533,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2229.78,0.04153,0.86602,0.96425,0.62584,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
