epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
26,3013.9,0.67782,1.07874,1.46234,0.00659,0.33749,0.52598,0.30253,0.30353,0.25682,0.53261,0.30627,0.3082,0.24679,0.72735,1.37067,1.78683,0.01162,0,6.99825e-05,6.99825e-05,6.99825e-05
27,3128.56,0.67655,1.07691,1.45214,0.00656,0.33457,0.48638,0.29623,0.29655,0.2483,0.49042,0.2965,0.2996,0.2383,0.73078,1.35594,1.78249,0.01173,0,6.90618e-05,6.90618e-05,6.90618e-05
28,3242.09,0.67682,1.07812,1.43574,0.00654,0.3308,0.50076,0.30951,0.30456,0.25634,0.50566,0.31215,0.30659,0.24498,0.72761,1.39697,1.8239,0.01154,0,6.81411e-05,6.81411e-05,6.81411e-05
29,3356.37,0.67564,1.06391,1.40325,0.0065,0.32613,0.50396,0.31662,0.29699,0.24928,0.49886,0.32108,0.29879,0.2389,0.73402,1.39158,1.84655,0.01179,0,6.72204e-05,6.72204e-05,6.72204e-05
30,3469.77,0.67081,1.05943,1.3955,0.00653,0.32198,0.5134,0.30746,0.30631,0.25761,0.51765,0.31326,0.30987,0.24733,0.73344,1.4048,1.8032,0.01179,0,6.62997e-05,6.62997e-05,6.62997e-05
31,3584.5,0.67072,1.06081,1.3702,0.00644,0.31655,0.46987,0.31641,0.31004,0.262,0.47608,0.32186,0.31383,0.25082,0.72292,1.40179,1.82298,0.0115,0,6.5379e-05,6.5379e-05,6.5379e-05
32,3698.42,0.66763,1.04216,1.35226,0.00641,0.31599,0.49948,0.32178,0.31426,0.26343,0.50324,0.32495,0.31202,0.25037,0.72201,1.3873,1.84417,0.01151,0,6.44583e-05,6.44583e-05,6.44583e-05
33,3812.43,0.66365,1.04743,1.33823,0.00644,0.31307,0.5155,0.31134,0.31605,0.2606,0.52262,0.31257,0.30891,0.24611,0.72823,1.39722,1.83181,0.01163,0,6.35376e-05,6.35376e-05,6.35376e-05
34,3927.03,0.65927,1.03444,1.3061,0.00634,0.30596,0.48273,0.31984,0.30868,0.2595,0.49893,0.31936,0.3126,0.24778,0.72953,1.38183,1.80977,0.0117,0,6.26169e-05,6.26169e-05,6.26169e-05
35,4041.27,0.66402,1.03832,1.30386,0.00633,0.3078,0.4966,0.30434,0.30699,0.25811,0.50142,0.30824,0.31085,0.24775,0.73425,1.39368,1.83082,0.01183,0,6.16962e-05,6.16962e-05,6.16962e-05
